gw_id,istc_id,corpus_file,gw_url,istc_url
04386,ib00684000,supplementary-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW04386.htm,https://data.cerl.org/istc/ib00684000
04387,ib00685000,supplementary-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW04387.htm,https://data.cerl.org/istc/ib00685000
04388,ib00685100,supplementary-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW04388.htm,https://data.cerl.org/istc/ib00685100
0438805N,ib00683600,supplementary-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW0438805N.htm,https://data.cerl.org/istc/ib00683600
0567010N,ib01268480,supplementary-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW0567010N.htm,https://data.cerl.org/istc/ib01268480
05671,ib01268520,supplementary-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW05671.htm,https://data.cerl.org/istc/ib01268520
05686,ib01273000,supplementary-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW05686.htm,https://data.cerl.org/istc/ib01273000
12944,ih00436430,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12944.htm,https://data.cerl.org/istc/ih00436430
12945,ic00990000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12945.htm,https://data.cerl.org/istc/ic00990000
12946,ic00991000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12946.htm,https://data.cerl.org/istc/ic00991000
12947,ic00992000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12947.htm,https://data.cerl.org/istc/ic00992000
12948,ih00357480,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12948.htm,https://data.cerl.org/istc/ih00357480
12949,ih00357745,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12949.htm,https://data.cerl.org/istc/ih00357745
12950,ip00079500,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12950.htm,https://data.cerl.org/istc/ip00079500
12951,ip00079700,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12951.htm,https://data.cerl.org/istc/ip00079700
12952,ih00435630,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12952.htm,https://data.cerl.org/istc/ih00435630
12953,ih00366000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12953.htm,https://data.cerl.org/istc/ih00366000
12954,ih00365800,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12954.htm,https://data.cerl.org/istc/ih00365800
12955,ih00344000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12955.htm,https://data.cerl.org/istc/ih00344000
12956,ih00348050,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12956.htm,https://data.cerl.org/istc/ih00348050
12957,ih00427975,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12957.htm,https://data.cerl.org/istc/ih00427975
12958,ih00427977,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12958.htm,https://data.cerl.org/istc/ih00427977
12959,io00051295,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12959.htm,https://data.cerl.org/istc/io00051295
12960,io00065990,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12960.htm,https://data.cerl.org/istc/io00065990
12961,ih00435150,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12961.htm,https://data.cerl.org/istc/ih00435150
12962,ih00436400,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12962.htm,https://data.cerl.org/istc/ih00436400
12963,ih00436410,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12963.htm,https://data.cerl.org/istc/ih00436410
12964,ih00357760,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12964.htm,https://data.cerl.org/istc/ih00357760
12965,ih00357380,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12965.htm,https://data.cerl.org/istc/ih00357380
1296550N,io00065974,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW1296550N.htm,https://data.cerl.org/istc/io00065974
12966,ic00990500,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12966.htm,https://data.cerl.org/istc/ic00990500
12967,ih00377490,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12967.htm,https://data.cerl.org/istc/ih00377490
12968,ih00377500,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12968.htm,https://data.cerl.org/istc/ih00377500
12969,ih00485000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12969.htm,https://data.cerl.org/istc/ih00485000
12970,ih00484700,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12970.htm,https://data.cerl.org/istc/ih00484700
12971,ih00485200,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12971.htm,https://data.cerl.org/istc/ih00485200
12972,ih00485300,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12972.htm,https://data.cerl.org/istc/ih00485300
12973,ih00485500,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12973.htm,https://data.cerl.org/istc/ih00485500
12974,ih00427980,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12974.htm,https://data.cerl.org/istc/ih00427980
12975,ic00989950,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12975.htm,https://data.cerl.org/istc/ic00989950
