gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note,corpus_file
0417705N,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi, franz. von Jean Quentin.","Bertholdus: Zeitglöcklein des Lebens und Leidens Christi, franz. von Jean Quentin. Paris: Etienne Jehannot, [um 1500]. 4°",Paris,1500,1500,franz.,iq00018000,https://gesamtkatalogderwiegendrucke.de/docs/GW0417705N.htm,https://data.cerl.org/istc/iq00018000,,supplementary-gw-corpus.csv
04187,Betrachtung eines andächtigen Menschen beim Rosenkranzgebet.,"Betrachtung eines andächtigen Menschen beim Rosenkranzgebet. [Nürnberg: Anton Koberger], 1492.",Nürnberg,1492,1492,,ib00521500,https://gesamtkatalogderwiegendrucke.de/docs/GW04187.htm,https://data.cerl.org/istc/ib00521500,,supplementary-gw-corpus.csv
04188,"Betrachtungen, begriffen in dem Rosenkranz.","Betrachtungen, begriffen in dem Rosenkranz. Ulm: Konrad Dinckmut, 1494. 8°",Ulm,1494,1494,,ib00521600,https://gesamtkatalogderwiegendrucke.de/docs/GW04188.htm,https://data.cerl.org/istc/ib00521600,,supplementary-gw-corpus.csv
04194,"Beysselius, Jodocus: Rosacea augustissimae christiferae Maria corona etc.","Beysselius, Jodocus: Rosacea augustissimae christiferae Maria corona etc. Antwerpen: Govert Bac, [um 1495]. 4°",Antwerpen,1495,1495,,ib00524000,https://gesamtkatalogderwiegendrucke.de/docs/GW04194.htm,https://data.cerl.org/istc/ib00524000,,supplementary-gw-corpus.csv
04195,"Beysselius, Jodocus: Tria rosacea coronamenta.","Beysselius, Jodocus: Tria rosacea coronamenta. Antwerpen: Govert Bac, 16.I.1495. 4°",Antwerpen,1495,1495,,ib00525000,https://gesamtkatalogderwiegendrucke.de/docs/GW04195.htm,https://data.cerl.org/istc/ib00525000,,supplementary-gw-corpus.csv
04362,Pseudo-Birgitta: Orationes quindecim. Daran: Oratio ad Christum in cruce pendentem.,"Pseudo-Birgitta: Orationes quindecim. Daran: Oratio ad Christum in cruce pendentem. [Venedig: Philippus Petri, um 1475/80]. 4°",Venedig,1475,1480,,ib00677000,https://gesamtkatalogderwiegendrucke.de/docs/GW04362.htm,https://data.cerl.org/istc/ib00677000,,supplementary-gw-corpus.csv
04363,"Pseudo-Birgitta: Orationes quindecim. Daran: Columna, Aegidius: Hymnus in S. Veronicam.","Pseudo-Birgitta: Orationes quindecim. Daran: Columna, Aegidius: Hymnus in S. Veronicam. [Rom: Johann Bulle, um 1478]. 8°",Rom,1478,1478,,ib00677300,https://gesamtkatalogderwiegendrucke.de/docs/GW04363.htm,https://data.cerl.org/istc/ib00677300,,supplementary-gw-corpus.csv
04364,Pseudo-Birgitta: Orationes quindecim.,"Pseudo-Birgitta: Orationes quindecim. [Rom: Stephan Plannck, um 1488/90]. 8°",Rom,1488,1490,,ib00677500,https://gesamtkatalogderwiegendrucke.de/docs/GW04364.htm,https://data.cerl.org/istc/ib00677500,,supplementary-gw-corpus.csv
04365,Pseudo-Birgitta: Orationes quindecim.,"Pseudo-Birgitta: Orationes quindecim. [Rom: Eucharius Silber, um 1490]. 8°",Rom,1490,1490,,ib00677400,https://gesamtkatalogderwiegendrucke.de/docs/GW04365.htm,https://data.cerl.org/istc/ib00677400,,supplementary-gw-corpus.csv
04366,Pseudo-Birgitta: Orationes quindecim.,"Pseudo-Birgitta: Orationes quindecim. [Rom: Stephan Plannck, nach 1491]. 8°",Rom,1491,1491,,ib00678000,https://gesamtkatalogderwiegendrucke.de/docs/GW04366.htm,https://data.cerl.org/istc/ib00678000,,supplementary-gw-corpus.csv
