gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note
1296550N,Horae. Cursus.,"Horae. Cursus. [Nürnberg: Konrad Zeninger oder Peter Wagner, um 1482/83]. 16°",Nürnberg,1482,1483,,io00065974,https://gesamtkatalogderwiegendrucke.de/docs/GW1296550N.htm,https://data.cerl.org/istc/io00065974,
12966,Horae. Cursus.,"Horae. Cursus. [Speyer: Peter Drach d.M.], 21.I.1488. 16°",Speyer,1488,1488,,ic00990500,https://gesamtkatalogderwiegendrucke.de/docs/GW12966.htm,https://data.cerl.org/istc/ic00990500,
12967,Horae. Cursus BMV.,"Horae. Cursus BMV. [Strassburg: Drucker des Henricus Ariminensis (Georg Reyser), um 1478]. 8°",Strassburg,1478,1478,,ih00377490,https://gesamtkatalogderwiegendrucke.de/docs/GW12967.htm,https://data.cerl.org/istc/ih00377490,
12968,Horae. Cursus BMV.,"Horae. Cursus BMV. [Strassburg: Johann Grüninger, nicht nach 1496]. 8°",Strassburg,1496,1496,,ih00377500,https://gesamtkatalogderwiegendrucke.de/docs/GW12968.htm,https://data.cerl.org/istc/ih00377500,
12969,"Horae. Hortulus animae. Daran: Duranti, Guillelmus: Rationale divinorum officiorum. Ausz.(?).","Horae. Hortulus animae. Daran: Duranti, Guillelmus: Rationale divinorum officiorum. Ausz.(?). Strassburg: Wilhelm Schaffener, 13.III.1498. 8°",Strassburg,1498,1498,,ih00485000,https://gesamtkatalogderwiegendrucke.de/docs/GW12969.htm,https://data.cerl.org/istc/ih00485000,
12970,Horae. Hortulus animae.,"Horae. Hortulus animae. Strassburg: Johann Grüninger, [nach 28.III.]1498. 16°",Strassburg,1498,1498,,ih00484700,https://gesamtkatalogderwiegendrucke.de/docs/GW12970.htm,https://data.cerl.org/istc/ih00484700,
12971,Horae. Hortulus animae.,"Horae. Hortulus animae. Strassburg: Johann Grüninger, 1500. 16°",Strassburg,1500,1500,,ih00485200,https://gesamtkatalogderwiegendrucke.de/docs/GW12971.htm,https://data.cerl.org/istc/ih00485200,
12972,Horae. Hortulus animae.,"Horae. Hortulus animae. Strassburg: Johann Grüninger, 31.I.1500. 8°",Strassburg,1500,1500,,ih00485300,https://gesamtkatalogderwiegendrucke.de/docs/GW12972.htm,https://data.cerl.org/istc/ih00485300,
12973,Horae. Hortulus animae.,"Horae. Hortulus animae. Strassburg: Wilhelm Schaffener, 15.III.1500. 16°",Strassburg,1500,1500,,ih00485500,https://gesamtkatalogderwiegendrucke.de/docs/GW12973.htm,https://data.cerl.org/istc/ih00485500,
12974,Horae. Cursus per totam septimanam.,"Horae. Cursus per totam septimanam. [Stuttgart: Drucker der Erwählung Maximilians (H 10929), um 1486]. 8°",Stuttgart,1486,1486,,ih00427980,https://gesamtkatalogderwiegendrucke.de/docs/GW12974.htm,https://data.cerl.org/istc/ih00427980,
