mapping_id,station_type,match_field,source_key,source_label,affected_station_count,source_context_ids,resolved_name,resolution_level,country_code,place_authority,place_authority_id,place_authority_url,place_wikidata_id,institution_wikidata_id,latitude,longitude,resolution_status,resolution_method,source_record_url,resolution_note,match_context_field,match_context_key,apply_to_existing_coordinates
print_place-venedig,print_place,place_name,Venedig,Venedig,3,13360 | 1338820N,Venice,city,IT,GeoNames,3164603,https://www.geonames.org/3164603,,,45.43713,12.33265,resolved,verified_geonames_city,https://gesamtkatalogderwiegendrucke.de/docs/GW13360.htm | https://gesamtkatalogderwiegendrucke.de/docs/GW1338820N.htm,
print_place-westminster,print_place,place_name,Westminster,Westminster,1,13021,Westminster,locality,GB,GeoNames,2634341,https://www.geonames.org/2634341,Q189960,,51.50040,-0.12650,resolved,verified_geonames_city,https://gesamtkatalogderwiegendrucke.de/docs/GW13021.htm,
provenance_place-firenze,provenance_place,place_name,Firenze,Firenze,1,02003958-p001,Florence,city,IT,GeoNames,3176959,https://www.geonames.org/3176959,,,43.77925,11.24626,resolved,reused_mei_geonames,https://data.cerl.org/mei/02003958,
provenance_place-italien,provenance_place,place_name,Italien,Italien,3,02004011-p001 | 02004012-p001 | 02004013-p001,Italy,country,IT,,,,,,,,country_only,country_only,https://data.cerl.org/mei/02004011 | https://data.cerl.org/mei/02004012 | https://data.cerl.org/mei/02004013,MEI supplies only a country-level place statement; no point is assigned.
provenance_place-london,provenance_place,place_name,London,London,2,00200533-p005 | 00200533-p006,London,city,GB,GeoNames,2643743,https://www.geonames.org/2643743,,,51.50853,-0.12574,resolved,reused_mei_geonames,https://data.cerl.org/mei/00200533,
provenance_place-ferrara,provenance_place,place_name,Ferrara,Ferrara,2,02000909-p001 | 02000909-p002,Ferrara,city,IT,GeoNames,3177090,https://www.geonames.org/3177090,,,44.83804,11.62057,resolved,corrected_mei_geonames,https://data.cerl.org/mei/02000909,The MEI-supplied GeoNames ID 6299592 identifies a bus-terminal/airport feature; the analytical map layer corrects it to the populated-place record.,,,true
provenance_place-paris,provenance_place,place_name,Paris,Paris,5,02003992-p004 | 02004013-p002 | 02004012-p003 | 02004012-p004 | 02003961-p002,Paris,city,FR,GeoNames,2988507,https://www.geonames.org/2988507,Q90,,48.85341,2.3488,resolved,normalised_geonames_city,https://data.cerl.org/mei/02003992 | https://data.cerl.org/mei/02004013 | https://data.cerl.org/mei/02004012 | https://data.cerl.org/mei/02003961,MEI uses two different GeoNames records for Paris in the pilot; the analytical map layer consistently uses the capital record 2988507.,,,true
provenance_place-schwarzau-am-steinfeld-vienna,provenance_place,place_name,Schwarzau am Steinfeld (Vienna)?,Schwarzau am Steinfeld (Vienna)?,1,02003961-p003,Schwarzau am Steinfeld (Vienna)?,locality,,,,,,,,,needs_review,needs_review,https://data.cerl.org/mei/02003961,The source label is explicitly uncertain and combines Schwarzau am Steinfeld with Vienna; no point is assigned automatically.,source_record_id,02003961-p003
provenance_place-tuebingen,provenance_place,place_name,Tübingen,Tübingen,1,02135612-p001,Tübingen,city,DE,GeoNames,2820860,https://www.geonames.org/2820860,Q3806,,48.52266,9.05222,resolved,verified_geonames_city,https://data.cerl.org/mei/02135612,
current_holding-baltimoremdwalters,current_holding,institution_id,BaltimoreMDWalters,"Baltimore MD, The Walters Art Museum Library",1,00200539,Baltimore,city,US,GeoNames,4347778,https://www.geonames.org/4347778,,,39.29038,-76.61219,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/BaltimoreMDWalters,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
